canonical_keyword,cluster_key,cluster_label,topical_silo,primary_entity,entity_type,parent_entity,intent,intent_detail,geo_modifier,keyword_count,total_volume,current_ranking_coverage_pct,average_current_position,recommended_page_type,recommended_action,suggested_url
mccrispy meal,evm-mccrispy-meal__overview_menu,McCrispy Meal - overview menu,Value & Deals,McCrispy Meal,product_variant,Extra Value Meals,overview,overview_menu,,3,270,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/extra-value-meals/mccrispy-meal/
mcdonald's oatmeal ingredients,bfast-fruit-maple-oatmeal__nutrition_ingredients,Fruit & Maple Oatmeal - nutrition ingredients,Breakfast,Fruit & Maple Oatmeal,product_variant,Breakfast Menu,nutrition,nutrition_ingredients,,3,270,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/fruit-maple-oatmeal/
does mcdonalds tea have caffeine,beverages-drinks__nutrition_caffeine,Beverages & Drinks - nutrition caffeine,Beverages,Beverages & Drinks,menu_guide,,nutrition,nutrition_caffeine,,11,270,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/beverage-menu/
is mcdonald's oatmeal gluten free,bfast-fruit-maple-oatmeal__nutrition_allergens,Fruit & Maple Oatmeal - nutrition allergens,Breakfast,Fruit & Maple Oatmeal,product_variant,Breakfast Menu,nutrition,nutrition_allergens,,3,260,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/fruit-maple-oatmeal/
mcdonald's mocha frappe ingredients,coffee-mccafe-mocha-frappe-small__nutrition_ingredients,McCafe Mocha Frappe Small - nutrition ingredients,McCafe Coffees,McCafe Mocha Frappe Small,product_variant,McCafe Mocha Frappe,nutrition,nutrition_ingredients,,5,260,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-mocha-frappe-small/
mcdonalds pancakes ingredients,bfast-hotcakes__nutrition_ingredients,Hotcakes - nutrition ingredients,Breakfast,Hotcakes,product_variant,Breakfast Menu,nutrition,nutrition_ingredients,,4,260,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/hotcakes/
does mocha frappe have coffee,coffee-mccafe-mocha-frappe-small__overview_menu,McCafe Mocha Frappe Small - overview menu,McCafe Coffees,McCafe Mocha Frappe Small,product_variant,McCafe Mocha Frappe,overview,overview_menu,,7,260,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-mocha-frappe-small/
mccafe iced coffee,coffee-mccafe-iced-coffee__overview_menu,McCafe Iced Coffee - overview menu,McCafe Coffees,McCafe Iced Coffee,product_family,McCafe Coffees,overview,overview_menu,,1,250,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mccafe-menu/
mcdonald's sweet tea ingredients,bev-sweet-tea__nutrition_ingredients,Sweet Tea - nutrition ingredients,Beverages,Sweet Tea,product_family,Beverages & Drinks,nutrition,nutrition_ingredients,,3,250,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/beverage-menu/
how much is a spicy mccrispy,chicken-spicy-mccrispy__price_value,Spicy McCrispy - price value,Chicken & Fish,Spicy McCrispy,product_variant,Chicken & Fish Menu,commercial,price_value,,2,250,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/spicy-mccrispy/
small mcdonalds fries calories,fries-sides__nutrition_macros,Fries & Sides - nutrition macros,Fries & Sides,Fries & Sides,menu_guide,,nutrition,nutrition_macros,,4,240,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/fries-sides/
mcdonald's hot caramel sundae,sweets-hot-caramel-sundae__overview_general,Hot Caramel Sundae - overview general,Sweets & Treats,Hot Caramel Sundae,product_variant,Sweets & Treats,overview,overview_general,,2,240,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/hot-caramel-sundae/
