canonical_keyword,cluster_key,cluster_label,topical_silo,primary_entity,entity_type,parent_entity,intent,intent_detail,geo_modifier,keyword_count,total_volume,current_ranking_coverage_pct,average_current_position,recommended_page_type,recommended_action,suggested_url
mcdonald's menu,menu-hub__overview_menu,McDonald's Menu - overview menu,Brand Core,McDonald's Menu,menu_hub,,overview,overview_menu,,438,581900,0.0,,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/
mcdonald's breakfast menu,breakfast-menu__overview_menu,Breakfast Menu - overview menu,Breakfast,Breakfast Menu,menu_guide,,overview,overview_menu,,258,276190,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/breakfast-menu/
mcdvoice,mcdvoice__service_survey,McDVoice Survey - service survey,Customer Journey,McDVoice Survey,service_page,,service_task,service_survey,,115,128040,0.0,,service,Create a new support page and interlink it from the main menu hub.,https://mcdomenuusa.com/mcdvoice/
mcdonald's menu with prices 2025,menu-hub__price_value,McDonald's Menu - price value,Brand Core,McDonald's Menu,menu_hub,,commercial,price_value,,540,73570,0.0,,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/
mcdonald's big mac,burgers-big-mac__overview_general,Big Mac - overview general,Burgers,Big Mac,product_variant,Burgers Menu,overview,overview_general,,50,62660,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/big-mac/
mcchicken,chicken-mcchicken__overview_general,McChicken - overview general,Chicken & Fish,McChicken,product_variant,Chicken & Fish Menu,overview,overview_general,,67,47860,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/
mcdonald's chicken mcnuggets,mcvalue-chicken-mcnuggets__overview_general,Chicken McNuggets - overview general,Value & Deals,Chicken McNuggets,product_family,McValue Menu,overview,overview_general,,87,41870,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/
how much is a big mac,burgers-big-mac__price_value,Big Mac - price value,Burgers,Big Mac,product_variant,Burgers Menu,commercial,price_value,,144,36180,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/big-mac/
quarter pounder,burgers-quarter-pounder-with-cheese__overview_general,Quarter Pounder with Cheese - overview general,Burgers,Quarter Pounder with Cheese,product_variant,Burgers Menu,overview,overview_general,,46,31640,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/quarter-pounder-with-cheese/
mcdonalds $5 meal deal,extra-value-meals__price_value,Extra Value Meals - price value,Value & Deals,Extra Value Meals,menu_guide,,commercial,price_value,,11,30950,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/extra-value-meals/
mcdonald's food,menu-hub__overview_general,McDonald's Menu - overview general,Brand Core,McDonald's Menu,menu_hub,,overview,overview_general,,514,30850,0.0,,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/
mcchicken calories,chicken-mcchicken__nutrition_macros,McChicken - nutrition macros,Chicken & Fish,McChicken,product_variant,Chicken & Fish Menu,nutrition,nutrition_macros,,99,29520,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/
mcdonald's hash brown calories,bfast-hash-browns__nutrition_macros,Hash Browns - nutrition macros,Breakfast,Hash Browns,product_variant,Breakfast Menu,nutrition,nutrition_macros,,145,25140,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/hash-browns/
mcdouble,burgers-mcdouble__overview_general,McDouble - overview general,Burgers,McDouble,product_variant,Burgers Menu,overview,overview_general,,30,23490,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/mcdouble/
mccrispy,chicken-mccrispy__overview_general,McCrispy - overview general,Chicken & Fish,McCrispy,product_variant,Chicken & Fish Menu,overview,overview_general,,24,21710,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mccrispy/
how much is a mcchicken,chicken-mcchicken__price_value,McChicken - price value,Chicken & Fish,McChicken,product_variant,Chicken & Fish Menu,commercial,price_value,,106,21600,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/
double cheeseburger,burgers-double-cheeseburger__overview_general,Double Cheeseburger - overview general,Burgers,Double Cheeseburger,product_variant,Burgers Menu,overview,overview_general,,20,18410,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/double-cheeseburger/
mcdonald's breakfast menu with prices,breakfast-menu__price_value,Breakfast Menu - price value,Breakfast,Breakfast Menu,menu_guide,,commercial,price_value,,136,18330,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/breakfast-menu/
double quarter pounder with cheese,burgers-double-quarter-pounder-with-cheese__overview_general,Double Quarter Pounder with Cheese - overview general,Burgers,Double Quarter Pounder with Cheese,product_variant,Burgers Menu,overview,overview_general,,13,17650,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/double-quarter-pounder-with-cheese/
filet-o-fish,chicken-filet-o-fish__overview_general,Filet-O-Fish - overview general,Chicken & Fish,Filet-O-Fish,product_variant,Chicken & Fish Menu,overview,overview_general,,42,17570,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/filet-o-fish/
mcdonald big mac meal,evm-big-mac-meal__overview_menu,Big Mac Meal - overview menu,Value & Deals,Big Mac Meal,product_variant,Extra Value Meals,overview,overview_menu,,8,17320,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/extra-value-meals/big-mac-meal/
oreo mcflurry,sweets-oreo-mcflurry__overview_general,OREO McFlurry - overview general,Sweets & Treats,OREO McFlurry,product_variant,Sweets & Treats,overview,overview_general,,69,16980,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/oreo-mcflurry/
mcdonald's double cheeseburger calories,burgers-double-cheeseburger__nutrition_macros,Double Cheeseburger - nutrition macros,Burgers,Double Cheeseburger,product_variant,Burgers Menu,nutrition,nutrition_macros,,46,16960,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/double-cheeseburger/
mcdonald's chicken nuggets calories,mcvalue-chicken-mcnuggets__nutrition_macros,Chicken McNuggets - nutrition macros,Value & Deals,Chicken McNuggets,product_family,McValue Menu,nutrition,nutrition_macros,,91,16100,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/
mcdouble calories,burgers-mcdouble__nutrition_macros,McDouble - nutrition macros,Burgers,McDouble,product_variant,Burgers Menu,nutrition,nutrition_macros,,32,16070,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/mcdouble/
quarter pounder calories,burgers-quarter-pounder-with-cheese__nutrition_macros,Quarter Pounder with Cheese - nutrition macros,Burgers,Quarter Pounder with Cheese,product_variant,Burgers Menu,nutrition,nutrition_macros,,58,14450,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/quarter-pounder-with-cheese/
sausage egg mcmuffin calories,bfast-egg-mcmuffin__nutrition_macros,Egg McMuffin - nutrition macros,Breakfast,Egg McMuffin,product_variant,Breakfast Menu,nutrition,nutrition_macros,,63,14360,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/egg-mcmuffin/
mcdonalds sprite,bev-soft-drink-small__overview_general,Soft Drink Small - overview general,Beverages,Soft Drink Small,product_variant,Soft Drink,overview,overview_general,,115,14340,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/beverages-drinks/soft-drink-small/
mcdonald's hash brown,bfast-hash-browns__overview_general,Hash Browns - overview general,Breakfast,Hash Browns,product_variant,Breakfast Menu,overview,overview_general,,32,13220,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/hash-browns/
big mac meal price,evm-big-mac-meal__price_value,Big Mac Meal - price value,Value & Deals,Big Mac Meal,product_variant,Extra Value Meals,commercial,price_value,,33,12770,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/extra-value-meals/big-mac-meal/
how much is a mcflurry,sweets-oreo-mcflurry__price_value,OREO McFlurry - price value,Sweets & Treats,OREO McFlurry,product_variant,Sweets & Treats,commercial,price_value,,89,12770,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/oreo-mcflurry/
mcflurry calories,sweets-oreo-mcflurry__nutrition_macros,OREO McFlurry - nutrition macros,Sweets & Treats,OREO McFlurry,product_variant,Sweets & Treats,nutrition,nutrition_macros,,76,11960,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/oreo-mcflurry/
mcdouble vs double cheeseburger,comparison__double-cheeseburger-vs-mcdouble,Double Cheeseburger vs McDouble,Burgers,Double Cheeseburger vs McDouble,comparison,Burgers Menu,comparison,comparison,,12,11920,0.0,,comparison,Create a comparison page or dedicated comparison section.,
mcdonalds sauces,sauces-condiments__overview_general,Sauces & Condiments - overview general,Sauces & Condiments,Sauces & Condiments,menu_guide,,overview,overview_general,,19,11880,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/sauces-condiments/
mcdonald's big breakfast,bfast-big-breakfast__overview_menu,Big Breakfast - overview menu,Breakfast,Big Breakfast,product_variant,Breakfast Menu,overview,overview_menu,,40,11410,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/big-breakfast/
how much is a happy meal at mcdonald's,happy-meal__price_value,Happy Meal - price value,Happy Meal,Happy Meal,menu_guide,,commercial,price_value,,94,10870,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/happy-meal-menu/
sausage mcmuffin calories,bfast-sausage-mcmuffin__nutrition_macros,Sausage McMuffin - nutrition macros,Breakfast,Sausage McMuffin,product_variant,Breakfast Menu,nutrition,nutrition_macros,,60,10660,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/sausage-mcmuffin/
sausage egg mcmuffin,bfast-egg-mcmuffin__overview_general,Egg McMuffin - overview general,Breakfast,Egg McMuffin,product_variant,Breakfast Menu,overview,overview_general,,26,10610,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/egg-mcmuffin/
mcdonalds frappe,coffee-frappe__overview_general,Frappe - overview general,McCafe Coffees,Frappe,product_family,McCafe Coffees,overview,overview_general,,67,10220,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mccafe-menu/
mcdonald's value meals,extra-value-meals__overview_general,Extra Value Meals - overview general,Value & Deals,Extra Value Meals,menu_guide,,overview,overview_general,,4,10120,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/extra-value-meals/
mcdonald french fries,sides-world-famous-fries-small__overview_general,World Famous Fries Small - overview general,Fries & Sides,World Famous Fries Small,product_variant,World Famous Fries,overview,overview_general,,22,10090,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/fries-sides/world-famous-fries-small/
mcdonald's fries,fries-sides__overview_general,Fries & Sides - overview general,Fries & Sides,Fries & Sides,menu_guide,,overview,overview_general,,5,9510,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/fries-sides/
dinner box mcdonalds,shareables-bundles__overview_general,Shareables & Bundles - overview general,Value & Deals,Shareables & Bundles,support_page,,overview,overview_general,,48,9510,0.0,,support,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/shareables-bundles/
mcdonalds cookies,sweets-chocolate-chip-cookie__overview_general,Chocolate Chip Cookie - overview general,Sweets & Treats,Chocolate Chip Cookie,product_variant,Sweets & Treats,overview,overview_general,,21,9250,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/chocolate-chip-cookie/
hot fudge sundae,sweets-hot-fudge-sundae__overview_general,Hot Fudge Sundae - overview general,Sweets & Treats,Hot Fudge Sundae,product_variant,Sweets & Treats,overview,overview_general,,9,9240,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/hot-fudge-sundae/
mcdonald's bundle box,shareables-bundles__price_value,Shareables & Bundles - price value,Value & Deals,Shareables & Bundles,support_page,,commercial,price_value,,105,8910,0.0,,support,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/shareables-bundles/
20 piece chicken mcnuggets price,nuggets-20-pc-chicken-mcnuggets__price_value,20 pc Chicken McNuggets - price value,McNuggets & Strips,20 pc Chicken McNuggets,product_variant,Chicken McNuggets,commercial,price_value,,47,8240,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mcnuggets-strips/20-pc-chicken-mcnuggets/
how much is a mcdouble,burgers-mcdouble__price_value,McDouble - price value,Burgers,McDouble,product_variant,Burgers Menu,commercial,price_value,,52,8090,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/mcdouble/
mcdonald's small fries calories,sides-world-famous-fries-small__nutrition_macros,World Famous Fries Small - nutrition macros,Fries & Sides,World Famous Fries Small,product_variant,World Famous Fries,nutrition,nutrition_macros,,52,8080,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/fries-sides/world-famous-fries-small/
mcdonald's ice cream price,sweets-treats__price_value,Sweets & Treats - price value,Sweets & Treats,Sweets & Treats,menu_guide,,commercial,price_value,,111,7660,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/sweets-treats/
how much is a cheeseburger at mcdonald's,burgers-cheeseburger__price_value,Cheeseburger - price value,Burgers,Cheeseburger,product_variant,Burgers Menu,commercial,price_value,,76,7540,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/cheeseburger/
how much is an ice cream cone at mcdonald's,sweets-vanilla-cone__price_value,Vanilla Cone - price value,Sweets & Treats,Vanilla Cone,product_variant,Sweets & Treats,commercial,price_value,,67,7540,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/vanilla-cone/
how much is a 10 piece mcnugget,nuggets-10-pc-chicken-mcnuggets__price_value,10 pc Chicken McNuggets - price value,McNuggets & Strips,10 pc Chicken McNuggets,product_variant,Chicken McNuggets,commercial,price_value,,41,7480,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mcnuggets-strips/10-pc-chicken-mcnuggets/
mcdonalds iced coffee,coffee-mccafe-iced-coffee-small__overview_menu,McCafe Iced Coffee Small - overview menu,McCafe Coffees,McCafe Iced Coffee Small,product_variant,McCafe Iced Coffee,overview,overview_menu,,54,7430,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-iced-coffee-small/
sausage mcgriddle,bfast-sausage-mcgriddles__overview_general,Sausage McGriddles - overview general,Breakfast,Sausage McGriddles,product_variant,Breakfast Menu,overview,overview_general,,10,7100,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/sausage-mcgriddles/
mcdonalds nuggets,nuggets-6-pc-chicken-mcnuggets__overview_general,6 pc Chicken McNuggets - overview general,McNuggets & Strips,6 pc Chicken McNuggets,product_variant,Chicken McNuggets,overview,overview_general,,46,7010,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mcnuggets-strips/6-pc-chicken-mcnuggets/
how much is a large fry at mcdonald's,sides-world-famous-fries-large__price_value,World Famous Fries Large - price value,Fries & Sides,World Famous Fries Large,product_variant,World Famous Fries,commercial,price_value,,70,6870,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/fries-sides/world-famous-fries-large/
mcdonalds smoothie,beverages-smoothie__overview_general,Smoothie - overview general,Beverages,Smoothie,product_family,Beverages & Drinks,overview,overview_general,,61,6540,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/beverage-menu/
calories in filet o fish,chicken-filet-o-fish__nutrition_macros,Filet-O-Fish - nutrition macros,Chicken & Fish,Filet-O-Fish,product_variant,Chicken & Fish Menu,nutrition,nutrition_macros,,69,6500,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/filet-o-fish/
mcdonalds drink menu,beverages-drinks__overview_menu,Beverages & Drinks - overview menu,Beverages,Beverages & Drinks,menu_guide,,overview,overview_menu,,46,6490,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/beverage-menu/
mcdonald's coffee menu,mccafe-coffees__overview_menu,McCafe Coffees - overview menu,McCafe Coffees,McCafe Coffees,menu_guide,,overview,overview_menu,,37,6410,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/mccafe-menu/
mcgriddle calories,breakfast-mcgriddle__nutrition_macros,McGriddle - nutrition macros,Breakfast,McGriddle,product_family,Breakfast Menu,nutrition,nutrition_macros,,44,6370,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/breakfast-menu/
mcdonald's $5 meal,extra-value-meals__overview_menu,Extra Value Meals - overview menu,Value & Deals,Extra Value Meals,menu_guide,,overview,overview_menu,,4,6300,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/extra-value-meals/
large coke mcdonalds calories,nutrition-guide__nutrition_macros,"Nutrition, Calories & Allergens - nutrition macros",Nutrition,"Nutrition, Calories & Allergens",support_page,,nutrition,nutrition_macros,,78,6280,0.0,,support,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/mcdonalds-nutrition-calories-allergens/
mcdonalds caramel frappe,coffee-mccafe-caramel-frappe-small__overview_general,McCafe Caramel Frappe Small - overview general,McCafe Coffees,McCafe Caramel Frappe Small,product_variant,McCafe Caramel Frappe,overview,overview_general,,25,6030,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-caramel-frappe-small/
how much is a 20 piece nugget at mcdonald's,mcnuggets-strips__price_value,McNuggets & Strips - price value,McNuggets & Strips,McNuggets & Strips,menu_guide,,commercial,price_value,,69,5970,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/nuggets-and-strips/
mcdonald's sausage burrito,bfast-sausage-burrito__overview_general,Sausage Burrito - overview general,Breakfast,Sausage Burrito,product_variant,Breakfast Menu,overview,overview_general,,29,5880,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/sausage-burrito/
6 piece chicken mcnuggets calories,nuggets-6-pc-chicken-mcnuggets__nutrition_macros,6 pc Chicken McNuggets - nutrition macros,McNuggets & Strips,6 pc Chicken McNuggets,product_variant,Chicken McNuggets,nutrition,nutrition_macros,,34,5800,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mcnuggets-strips/6-pc-chicken-mcnuggets/
vanilla ice cream cone,sweets-vanilla-cone__overview_general,Vanilla Cone - overview general,Sweets & Treats,Vanilla Cone,product_variant,Sweets & Treats,overview,overview_general,,27,5760,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/vanilla-cone/
10 piece chicken mcnuggets calories,nuggets-10-pc-chicken-mcnuggets__nutrition_macros,10 pc Chicken McNuggets - nutrition macros,McNuggets & Strips,10 pc Chicken McNuggets,product_variant,Chicken McNuggets,nutrition,nutrition_macros,,25,5700,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mcnuggets-strips/10-pc-chicken-mcnuggets/
egg mcmuffin price,bfast-egg-mcmuffin__price_value,Egg McMuffin - price value,Breakfast,Egg McMuffin,product_variant,Breakfast Menu,commercial,price_value,,45,5670,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/egg-mcmuffin/
mcdonald's ice cream cone calories,sweets-vanilla-cone__nutrition_macros,Vanilla Cone - nutrition macros,Sweets & Treats,Vanilla Cone,product_variant,Sweets & Treats,nutrition,nutrition_macros,,51,5670,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/vanilla-cone/
softserve near me,sweets-treats__overview_general,Sweets & Treats - overview general,Sweets & Treats,Sweets & Treats,menu_guide,,overview,overview_general,,61,5610,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/sweets-treats/
mcdonald's value menu with prices,deals-mcvalue-guide__price_value,Deals & McValue Guide - price value,Value & Deals,Deals & McValue Guide,support_page,,commercial,price_value,,45,5560,0.0,,support,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/
how much is a double cheeseburger at mcdonald's,burgers-double-cheeseburger__price_value,Double Cheeseburger - price value,Burgers,Double Cheeseburger,product_variant,Burgers Menu,commercial,price_value,,31,5480,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/double-cheeseburger/
mcdonald's breakfast burrito calories,breakfast-menu__nutrition_macros,Breakfast Menu - nutrition macros,Breakfast,Breakfast Menu,menu_guide,,nutrition,nutrition_macros,,41,5420,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/breakfast-menu/
mcdonald's chicken nuggets price,mcvalue-chicken-mcnuggets__price_value,Chicken McNuggets - price value,Value & Deals,Chicken McNuggets,product_family,McValue Menu,commercial,price_value,,138,5410,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/
hot coco,coffee-mccafe-hot-chocolate__overview_general,McCafe Hot Chocolate - overview general,McCafe Coffees,McCafe Hot Chocolate,product_family,McCafe Coffees,overview,overview_general,,22,5350,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mccafe-menu/
mcdonald's hash brown price,bfast-hash-browns__price_value,Hash Browns - price value,Breakfast,Hash Browns,product_variant,Breakfast Menu,commercial,price_value,,52,5300,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/hash-browns/
mcdonald's french fries,mcvalue-world-famous-fries__overview_general,World Famous Fries - overview general,Value & Deals,World Famous Fries,product_family,McValue Menu,overview,overview_general,,6,5130,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/
mcdonald's oatmeal,bfast-fruit-maple-oatmeal__overview_general,Fruit & Maple Oatmeal - overview general,Breakfast,Fruit & Maple Oatmeal,product_variant,Breakfast Menu,overview,overview_general,,20,5120,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/fruit-maple-oatmeal/
mcdonald's sausage mcmuffin,bfast-sausage-mcmuffin__overview_general,Sausage McMuffin - overview general,Breakfast,Sausage McMuffin,product_variant,Breakfast Menu,overview,overview_general,,18,5010,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/sausage-mcmuffin/
sausage egg and cheese mcmuffin calories,breakfast-mcmuffin__nutrition_macros,McMuffin - nutrition macros,Breakfast,McMuffin,product_family,Breakfast Menu,nutrition,nutrition_macros,,26,4930,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/breakfast-menu/
mcdonald's hotcakes,bfast-hotcakes__overview_general,Hotcakes - overview general,Breakfast,Hotcakes,product_variant,Breakfast Menu,overview,overview_general,,29,4510,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/hotcakes/
mcdonalds drink,beverages-drinks__overview_general,Beverages & Drinks - overview general,Beverages,Beverages & Drinks,menu_guide,,overview,overview_general,,61,4510,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/beverage-menu/
steak bagel mcdonald's,bfast-bagel__overview_general,Bagel - overview general,Breakfast,Bagel,product_variant,Breakfast Menu,overview,overview_general,,17,4480,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/bagel/
caramel frappe mcdonalds price,coffee-mccafe-caramel-frappe-small__price_value,McCafe Caramel Frappe Small - price value,McCafe Coffees,McCafe Caramel Frappe Small,product_variant,McCafe Caramel Frappe,commercial,price_value,,43,4370,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-caramel-frappe-small/
mcvoice,mcdvoice__overview_general,McDVoice Survey - overview general,Customer Journey,McDVoice Survey,service_page,,overview,overview_general,,23,4350,0.0,,service,Create a new support page and interlink it from the main menu hub.,https://mcdomenuusa.com/mcdvoice/
mocha frappe mcdonald's,coffee-mccafe-mocha-frappe-small__overview_general,McCafe Mocha Frappe Small - overview general,McCafe Coffees,McCafe Mocha Frappe Small,product_variant,McCafe Mocha Frappe,overview,overview_general,,24,4270,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-mocha-frappe-small/
mccrispy chicken sandwich,chicken-fish-menu__overview_general,Chicken & Fish Menu - overview general,Chicken & Fish,Chicken & Fish Menu,menu_guide,,overview,overview_general,,28,4220,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/chicken-fish-menu/
mcdonald's sausage burrito calories,bfast-sausage-burrito__nutrition_macros,Sausage Burrito - nutrition macros,Breakfast,Sausage Burrito,product_variant,Breakfast Menu,nutrition,nutrition_macros,,32,4200,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/sausage-burrito/
mcdonald's family meal,shareables-bundles__overview_menu,Shareables & Bundles - overview menu,Value & Deals,Shareables & Bundles,support_page,,overview,overview_menu,,21,4050,0.0,,support,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/shareables-bundles/
how many calories are in a mcdonald's cheeseburger,burgers-cheeseburger__nutrition_macros,Cheeseburger - nutrition macros,Burgers,Cheeseburger,product_variant,Burgers Menu,nutrition,nutrition_macros,,33,3750,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/cheeseburger/
